xs,ys_bottom,ys_top,num_points,putty_depth
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0013257108219905944, 0.016081928753380603, 0.023012297902513662, 0.0016026673741306452, 0.009525486779593084, 0.0036239981968578805, 0.022283280532264388, 0.02219786737516935, 0.005879317997610933, -0.005500000000000005]","[0.3055, 0.2900315960878903, 0.2986383087071994, 0.3042696156539498, 0.27876474280650126, 0.29693323577563885, 0.2962696347968164, 0.2752106972341637, 0.27608258395039964, 0.2830772983523081, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.010345956883290736, 0.0064690468995158845, 0.0025323776497416794, 0.020154094362032332, -0.00387550764157063, 0.02284849122557378, 0.010618082596729361, 0.015564872168256444, 0.02360948865520973, -0.005500000000000005]","[0.3055, 0.28993611823579557, 0.29713839825714117, 0.27498375226259897, 0.28433267675318513, 0.2920681312309103, 0.3026982845101682, 0.30408754794825466, 0.29135950917552783, 0.2770745490735673, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.02051751992584644, 0.024290443093081954, -0.0016340610750650852, 0.025352505904063807, -0.0030485096465927286, 0.004625273099240018, 0.019126175921958033, -0.0015090402681358361, -0.003150490451580501, -0.005500000000000005]","[0.3055, 0.27580417919960765, 0.27463702270493656, 0.2829082977369227, 0.2820645225793663, 0.28396097454310104, 0.2933746828777196, 0.3002989141079687, 0.30273796729476843, 0.2870776295257236, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.020785963218312997, -0.002033644250414385, 0.0028383434529100637, 0.010076116502491073, -0.00023512151981083806, 0.02455286289613423, 0.01260253962560376, 0.01587619199488613, 0.018162067282036065, -0.005500000000000005]","[0.3055, 0.27525121557681953, 0.30238450374796044, 0.29369102918977874, 0.3020710662571197, 0.2761096586879148, 0.3010349919429399, 0.2797905329382573, 0.2794461912184901, 0.30023477925952413, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.001776680550922255, 0.003159312239477463, 0.024586703019016165, 0.015589688013331354, 0.025263026772764235, 0.0003362243173920809, 0.02229408362045332, 0.016567408865473282, 0.01902041365115542, -0.005500000000000005]","[0.3055, 0.27603901443105383, 0.30453815346767155, 0.3028567173740036, 0.28296603443078366, 0.2926909095896683, 0.2746758109326049, 0.29936840575096363, 0.2856242988277528, 0.3053539590834428, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.02446064894364669, 0.020157343838568514, 0.01920970378369452, 0.008532776562276356, 0.002059637467924119, 0.009881530593164795, 0.011778954758986104, 0.010838715253553455, 0.00505169072504949, -0.005500000000000005]","[0.3055, 0.2850427685350606, 0.2950694002205503, 0.29566350853195844, 0.28748239127540764, 0.2890343928809991, 0.2995915289519653, 0.2958172305069299, 0.2747463303763672, 0.2873280419626249, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.007033329879783334, 0.025118246000950195, 0.02195397386015202, 0.008317004603645928, -0.005008283547779213, 0.015684932797210588, 0.024646715049525092, 0.011948174301152248, 0.00893968693089986, -0.005500000000000005]","[0.3055, 0.29887329607355306, 0.30148891480492657, 0.301017926353062, 0.2932394950835725, 0.28579530190168473, 0.2810899339696704, 0.28697799709097127, 0.27468465904031103, 0.28725373903298435, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.025387103246652054, -0.003660154998304632, 0.009142844739844336, 0.01447902460840797, 0.004217557272121669, 0.016888324199703347, -0.001408790585187225, 0.006339595146066079, 0.019119358976891904, -0.005500000000000005]","[0.3055, 0.2847376642225312, 0.301121206526793, 0.2812083309527583, 0.3010485734809911, 0.291753656868608, 0.27856470406115186, 0.29239514889019685, 0.30352018458472974, 0.27540402586397705, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.005694426019326682, 0.017059856839140686, 0.012076229686281859, -0.0034200882447308067, 0.014383039957096028, -0.001992437735022695, 0.0003578472553459333, -0.0017011957935302024, 0.023344846099570216, -0.005500000000000005]","[0.3055, 0.30376586848160814, 0.2901962913534896, 0.27760218701701495, 0.2755749693147542, 0.2907399042077451, 0.2869134991771344, 0.2829849187107486, 0.2755339125027604, 0.28022268599645805, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.02410469181057545, 0.011419837264350807, 0.001879081700131624, 0.0076736244425430755, 0.017768923997938002, 0.002900463788871155, -0.0019068198679741133, 0.0017429243755380242, 0.002293366648745049, -0.005500000000000005]","[0.3055, 0.27479423516841783, 0.3009674379571613, 0.28068154714113014, 0.2845784244916513, 0.28644874911656243, 0.2784338178470162, 0.28873808492059977, 0.29757796811472104, 0.28397802522525295, 0.3055]",10,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.014240218479074335, 0.010119193832421353, 0.006281339285819615, 0.02474504771646066, -0.002865028468694325, 0.016025867443262398, 0.007482186489425391, 0.0006410823635522589, 0.014649025597502002, 0.010781526221350507, -0.003099969020853882, -4.07971160705789e-05, 0.006251933848351793, 0.005543135002241822, 0.02399847819367454, 0.0023442254459362377, -0.0019398141749167042, 0.011357480493629696, 0.015715695515723493, -0.005500000000000005]","[0.3055, 0.27933656476762, 0.27547178358247043, 0.3039574795350936, 0.2803163169973393, 0.2833552925584476, 0.2748601293680555, 0.2761010601071353, 0.2864812960288244, 0.30276630610932376, 0.2872468936512985, 0.27524246863793, 0.27708502232615695, 0.2857266817461603, 0.29666591723151337, 0.2816653122548145, 0.304810680431679, 0.292989837415612, 0.2895181439929797, 0.3004436757853768, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.009879257939874708, 0.020188187831258197, 0.021290760360990785, -0.0028671606580554787, 0.0036668954787906216, 0.016026920777111348, 0.013031124090059104, 0.0067078935324623445, 0.012588877648207542, -0.005254279472150181, 0.02432458130892401, -0.001647284360074136, 0.017875178028564975, 0.01731544868928528, 0.018526903735779254, -0.003536662109019456, 0.01631009989127455, 0.017550678383604523, -0.0051788086804307465, -0.005500000000000005]","[0.3055, 0.30225004938953387, 0.2886489536830925, 0.28599676465370016, 0.30325727782456635, 0.2990525805920132, 0.28486679186011843, 0.28927566275579386, 0.27579451260604804, 0.2855692621765371, 0.2882209485530019, 0.27821451587003176, 0.2910147946370995, 0.2800297866304683, 0.28522204132289053, 0.2831535996936594, 0.3012406525031473, 0.2754081215114387, 0.2980999773242037, 0.2897004876313201, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.01049256605680235, 0.005822193835569117, 0.021419755157532555, 0.02314892590627249, 0.019550993436140446, -0.0033874325994200927, 0.025155240378707144, 0.01497889436178762, 0.014506838026347335, -0.0032064022463165753, 0.008713042313141406, 0.005929634501605441, 0.00113940100957452, 0.005150790924307896, 0.008083832241808836, -2.423824838060362e-06, 0.013948652710269765, 0.011779199945870067, -0.0042157912261904795, -0.005500000000000005]","[0.3055, 0.2899134812032915, 0.2939795816670525, 0.2846938016008629, 0.2799865929297246, 0.2907164285189545, 0.2815333098268129, 0.2870110118184286, 0.29039347169715823, 0.2897340999302699, 0.292461877259916, 0.29440548101132447, 0.28117256068935104, 0.29560380297783956, 0.3010966766462878, 0.27885957936828015, 0.2824691503148802, 0.27553628692323573, 0.29980312595032355, 0.28954635901501513, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, -0.004415785067769767, 0.007550583924732596, 0.008757203204289937, 0.024571691419446623, 0.004168933371114153, 0.013527409603724394, 0.007514646331076569, 0.01690163663900937, 0.013042985801034662, 0.012516268523193763, 0.013562578789213603, 0.017892479333825095, 0.0028154075327984085, 0.018902692621608652, 0.001127314273833141, 0.01537016386303608, 0.014597663924859311, 0.018751072597680107, 0.018397054751052966, -0.005500000000000005]","[0.3055, 0.2854625478585124, 0.2906771754096753, 0.29960905090980317, 0.2831242311900833, 0.303854581336692, 0.2975845744898856, 0.28729950950312433, 0.27580285220568257, 0.28452605498726014, 0.2834658469376508, 0.2747462996148027, 0.2831713422690131, 0.2957055871883246, 0.30317986439428335, 0.28964346304044253, 0.29292205644947933, 0.2845691338000217, 0.29840120702836864, 0.3039898930798055, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.021017066692690517, 0.023306560428002387, -0.005130560474005091, 0.0175812154777705, -0.00028068694899077706, 0.019218357223483584, -0.0004985900514190844, 0.000293784319652296, 0.01147144484611523, 0.004615742835891251, 0.02399445471055109, 0.023373258395724905, 0.018368873728760643, 0.007943268883966959, -0.005466192569420797, 0.016981829085919442, -0.003562609431537883, -0.0011513145254512247, 0.008319829017614633, -0.005500000000000005]","[0.3055, 0.29248580447041905, 0.2884854926047883, 0.28739025688771336, 0.2826288714796211, 0.29036538691761893, 0.2757442560645109, 0.30495374988777274, 0.28547085170649467, 0.28195690728832123, 0.30426783175390204, 0.2789587518149477, 0.2917829944017956, 0.27740919714901313, 0.28338191774249477, 0.2874271941117088, 0.27653792533556915, 0.2946023765123005, 0.28900631702492896, 0.30102039031336403, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.010024411955404738, 0.009686111232878714, 0.01586092203986278, 0.02411950718605113, 0.02524636815662054, 0.008091328095730238, 0.023391503727182433, 0.022653013538734917, 0.00537418915481927, -0.001446485761416566, -0.00300932686413935, 0.024060002232230204, -0.0048344597348520535, 0.008002812480900456, 0.02320942626667405, 0.006119171553219144, 0.020966168245313388, 0.0009170062040886884, 0.016129043955326994, -0.005500000000000005]","[0.3055, 0.28480804472849974, 0.2747715333505908, 0.28325364810386544, 0.30151951002077754, 0.2989980114053707, 0.30490731002705407, 0.3031445253577769, 0.28789743944950297, 0.2904865699333001, 0.3033101022651349, 0.28111037206034684, 0.2832029221608209, 0.27794462148611354, 0.2947575458928956, 0.3045852707293013, 0.30145227696981186, 0.28492455871946926, 0.29547102331811576, 0.27986812424555463, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.025393259865637605, 0.00037250080745396263, 0.019587943707677385, 0.005888586533172313, 0.007716402652228088, 0.014585027566838077, -0.0037604982972165024, 0.021119398136928397, 0.00492194894454695, 0.0037260964568496535, 0.023088482381761505, 0.001131984546515613, -0.0028525962858480802, 0.023445022025971513, 0.024063552082263018, 0.020685489699275972, 0.004689662839568787, 0.009335014985815404, 0.00799135413257085, -0.005500000000000005]","[0.3055, 0.2963344070383121, 0.303543444712236, 0.2985049596622689, 0.2994505840097459, 0.28417748342913646, 0.2811054191631169, 0.2755770808974386, 0.28047513211237735, 0.2922919680501327, 0.28167629352411305, 0.29042246442535213, 0.2883071597589067, 0.2948806462893093, 0.2970873274777678, 0.29276383050784116, 0.2766856741259541, 0.2839918502105187, 0.29976891032172076, 0.2943506702889308, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.01720780687251966, -0.005068851072208697, 0.003253183044986979, 0.022887516427340937, 0.00844433620563767, 0.00860116872761002, 0.006980543462406341, 0.02480655224462383, 0.023222869026319704, -0.00327450600725665, 0.014585645678983572, 0.018147114339530618, 0.004732809685648404, 0.012073665332198308, 0.006409734538627615, 0.004514356037821826, 0.022501765202133317, 0.016075294273973223, 0.01651238437559782, -0.005500000000000005]","[0.3055, 0.27636731145693905, 0.304050891674103, 0.3037123125767792, 0.2868883485508674, 0.2939043140008772, 0.2748436674628481, 0.29373950722842945, 0.29354738622909293, 0.2822214493021791, 0.2974988892575231, 0.30331058302452407, 0.29183635324790835, 0.28211170144992553, 0.2781244949578746, 0.2835699372546332, 0.2978601696352303, 0.2986180041290101, 0.28802920097737594, 0.2952161887150796, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.024959357399644028, 0.0202152723174214, -0.004558021792929523, 0.015300263722939883, 0.020140329132369406, 0.024931580173532614, 0.0036526887714045386, -0.0017751993415062173, 0.017360347251113822, 0.014575865597954402, 0.0049329851581741135, 0.02387975625242289, -0.00352668979742346, 0.009636894069981083, -0.004151470583710071, 0.01731946021990216, -0.0003984464616565986, 0.011521200013503985, 0.010826776972799407, -0.005500000000000005]","[0.3055, 0.2825126894255195, 0.3009401253475338, 0.29104495065717373, 0.2781689859563068, 0.29003222276347884, 0.2805177219169697, 0.2991756567388577, 0.2901888587149454, 0.2830109778652192, 0.2803121746155713, 0.2875602587345486, 0.29141718295562125, 0.27702206289436193, 0.28306682023398166, 0.29373459330296253, 0.30236788704056433, 0.30091661218517146, 0.2919213198695836, 0.303409159577229, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.0022112076078262544, -0.0003775953210508609, 0.024244271047928395, 0.00829464901288296, 0.0009779536201475758, -0.004108880981731344, 0.004288056350327529, 0.024302985370989683, 0.003648082103884953, 0.00888695421981131, 0.014214652972614095, 0.008327547105072108, 0.0038641924678925743, 0.00897495309254881, 0.010591906875921653, 0.014471352728644582, 0.024042158914299533, 0.0005226602623167598, 0.025588229664910728, -0.005500000000000005]","[0.3055, 0.2756269541961669, 0.28734209748072603, 0.27833712180654313, 0.2817588868990306, 0.2746805945019517, 0.2849681866538328, 0.30150251989985044, 0.30049507703901346, 0.3039246370686223, 0.2873101151559369, 0.28150010210836707, 0.3000376529402474, 0.2837601907476184, 0.2840963044359339, 0.2945002652941315, 0.29105261092974943, 0.30193737628516804, 0.28283812630868554, 0.2901202983579675, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.008361504321025615, 0.0038333947738977414, -0.0041888411080634735, 0.023461152097416782, -0.003694188432979778, -0.0007501319560006825, 0.02067475907923455, -0.0015367841083013534, 0.01529194441594009, 0.004881755782580655, 0.004371804633222537, 0.018069852495977062, 0.01582522338489495, 0.003104452491632076, -0.005004326370500994, 0.0201568465118257, 0.02234941029958279, 0.022238077492943598, 0.020568576055582793, -0.005500000000000005]","[0.3055, 0.2889898833025799, 0.301338839353971, 0.286992039586329, 0.2762883859569416, 0.28249348725445556, 0.28969126664004624, 0.30222162758079163, 0.2815548256982906, 0.28709926183536805, 0.296946944909227, 0.28851606173249517, 0.27581188057208067, 0.3018398734937847, 0.27848042495262193, 0.3019611907939638, 0.2810787044436496, 0.2820674514441104, 0.27909947233346694, 0.3041190663243223, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.003838645704210969, 0.015873506467313753, 0.008551463338133364, 0.02421023644711462, -0.0015768772609791593, -0.0053087526787656825, 0.007233459425149968, 0.007663449329875643, 0.002934286133687264, 0.008376949269089246, 0.021899868385147486, 0.012691112256722925, 0.016254424747962987, -0.0030845421007988927, 0.02312454244884765, 0.01955694088666521, 0.02070501607301886, -0.0016029464291280326, 0.0021488120365791286, -0.005500000000000005]","[0.3055, 0.27873131132527845, 0.30481662913535845, 0.28361835135536095, 0.28845827471854346, 0.2916200850741302, 0.2828988671499565, 0.27863327445154723, 0.29104369876756514, 0.2963951796053856, 0.29831625893395564, 0.296057970779127, 0.27504262987415384, 0.28820386164978723, 0.2809493131153727, 0.2853258688626641, 0.28149001214005454, 0.30415358780765156, 0.2776487529335002, 0.29436106177103866, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.01865604425439435, 0.014109276115660652, 0.023703998265510062, 0.00448981267334464, 0.00479623667485915, 0.014290175751001916, 0.02114564087490786, 0.011535213044167603, -0.0013371792532445026, 0.014792308012871846, -0.00382239974025414, 0.005632654879089288, 0.007822308585837018, -0.0012385437240952923, 0.025492354009206658, 0.013604416093035865, 0.017220899373191406, -0.0023884433225036805, -0.0023186457416511097, -0.005500000000000005]","[0.3055, 0.2767578359325702, 0.2923859533263487, 0.3040904112749975, 0.27858382849409274, 0.28110490964050217, 0.3049427707059143, 0.2768144090131742, 0.2831926379802624, 0.2862959994945804, 0.29132022624273446, 0.29756069300064636, 0.2766976544533476, 0.2821033766693598, 0.29619659585497354, 0.2962076089563451, 0.2878476802631036, 0.3036167594715228, 0.28103468433668544, 0.2937284055922096, 0.3055]",20,0.03
"[0, 0.05, 0.1, 0.15000000000000002, 0.2, 0.25, 0.30000000000000004, 0.35000000000000003, 0.4, 0.45, 0.5, 0.55, 0.6000000000000001, 0.65, 0.7000000000000001, 0.75, 0.8, 0.8500000000000001, 0.9, 0.9500000000000001, 1]","[-0.005500000000000005, 0.009538206238221991, 0.004123572916888585, -0.0032299653310537135, 0.014733146652926077, 0.023909188208075305, 0.024416894763085367, 0.019792077242520495, -0.0010497819941122644, 0.0008970512928417607, 0.012752904560263595, -0.004681275446223959, 0.014862140443910876, 0.01825153172603805, 0.02458500152510143, -0.004785297801403687, 0.0037999651043029714, -0.004170410295828181, 0.017084238740445096, 0.007285413571994498, -0.005500000000000005]","[0.3055, 0.28842610612842456, 0.2829753976633885, 0.2947414537726934, 0.27898103491917337, 0.28651829044408456, 0.28675825938230115, 0.27658726700217134, 0.2811963998694631, 0.29502930699099206, 0.29111263517175706, 0.29951581981963554, 0.3014819970692878, 0.2962810378234275, 0.2754378757038325, 0.28265070846902973, 0.2759896279615425, 0.28015449121553027, 0.29823344878871383, 0.29417286804880083, 0.3055]",20,0.03
